Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
skincare,SKU51596,30.76,Available,3,92.28,Male,35,10,16,2,Carrier A,32.84,Supplier 2,Kolkata,20,228,24,655.93,Pass,0.08,Rail,Route A,200.68
skincare,SKU97020,88.96,Out of Stock,24,2135.04,Unknown,42,10,6,2,Carrier C,42.62,Supplier 3,Bangalore,9,563,5,2554.06,Pass,0.06,Rail,Route C,954.78
cosmetics,SKU72087,85.0,Out of Stock,14,1190.0,Female,49,3,5,1,Carrier A,17.08,Supplier 3,Kolkata,8,890,6,1024.16,Fail,0.09,Rail,Route A,671.91
skincare,SKU42260,27.84,Available,53,1475.52,Female,27,6,3,5,Carrier C,16.84,Supplier 1,Kolkata,6,896,25,3429.16,Fail,0.03,Rail,Route A,660.55
haircare,SKU37512,20.79,Out of Stock,18,374.22,Female,27,1,15,4,Carrier C,33.63,Supplier 1,Bangalore,22,442,15,1202.55,Fail,0.07,Road,Route A,261.56
cosmetics,SKU50183,13.76,Out of Stock,19,261.44,Unknown,11,6,10,5,Carrier A,34.06,Supplier 1,Kolkata,28,577,14,2380.57,Fail,0.04,Sea,Route A,255.94
haircare,SKU49815,20.69,Out of Stock,70,1448.3,Female,19,9,12,3,Carrier A,49.57,Supplier 3,Mumbai,24,673,17,1403.02,Fail,0.06,Air,Route C,745.47
cosmetics,SKU53936,75.08,Available,78,5856.24,Unknown,1,10,2,4,Carrier B,7.78,Supplier 3,Kolkata,27,119,2,644.19,Fail,0.04,Road,Route A,322.51
cosmetics,SKU50137,82.1,Out of Stock,65,5336.5,Unknown,41,6,14,1,Carrier A,9.52,Supplier 4,Bangalore,9,205,3,4572.86,Fail,0.04,Road,Route C,903.93
skincare,SKU46709,65.96,Out of Stock,81,5342.76,Non-binary,22,8,6,2,Carrier B,39.39,Supplier 4,Mumbai,7,855,14,3625.52,Pass,0.07,Road,Route C,510.78
skincare,SKU51194,59.05,Available,32,1889.6,Non-binary,34,10,10,2,Carrier C,26.39,Supplier 1,Kolkata,26,86,21,4734.23,Pass,0.05,Air,Route C,606.21
cosmetics,SKU64644,13.62,Out of Stock,44,599.28,Non-binary,8,1,2,5,Carrier B,9.9,Supplier 4,Mumbai,22,308,16,1079.79,Pass,0.01,Road,Route C,590.95
cosmetics,SKU55326,84.45,Out of Stock,89,7516.05,Unknown,45,4,6,2,Carrier B,40.71,Supplier 2,Kolkata,2,606,21,1444.52,Pass,0.06,Rail,Route C,190.9
skincare,SKU82713,57.56,Available,85,4892.6,Non-binary,45,1,3,4,Carrier C,22.19,Supplier 4,Kolkata,9,616,1,1854.79,Pass,0.08,Sea,Route C,594.15
cosmetics,SKU16087,83.04,Out of Stock,7,581.28,Female,9,4,20,3,Carrier A,35.55,Supplier 3,Mumbai,22,66,5,3077.84,Pass,0.02,Rail,Route B,538.01
skincare,SKU57551,67.49,Out of Stock,55,3711.95,Female,12,1,17,2,Carrier C,25.55,Supplier 4,Bangalore,13,328,19,4718.34,Pass,0.02,Air,Route B,935.47
skincare,SKU36439,62.71,Out of Stock,37,2320.27,Unknown,44,5,13,5,Carrier B,41.75,Supplier 4,Kolkata,28,381,25,3681.9,Fail,0.06,Road,Route A,262.08
skincare,SKU36902,75.79,Available,79,5987.41,Male,11,3,2,5,Carrier B,39.02,Supplier 5,Kolkata,6,801,7,3955.06,Fail,0.07,Road,Route B,302.0
haircare,SKU45277,93.28,Out of Stock,35,3264.8,Unknown,26,5,7,1,Carrier A,46.89,Supplier 5,Chennai,9,180,6,3944.89,Pass,0.03,Rail,Route B,183.61
skincare,SKU75625,39.45,Available,45,1775.25,Male,36,3,17,4,Carrier B,7.26,Supplier 3,Chennai,13,845,21,4814.77,Fail,0.04,Air,Route C,578.75
skincare,SKU74031,24.18,Out of Stock,53,1281.54,Male,45,6,2,2,Carrier C,29.43,Supplier 3,Kolkata,1,193,25,1040.88,Pass,0.06,Sea,Route C,472.42
skincare,SKU35915,20.76,Out of Stock,3,62.28,Non-binary,45,2,12,2,Carrier B,25.16,Supplier 3,Kolkata,29,976,11,2422.46,Fail,0.02,Air,Route B,769.03
cosmetics,SKU43055,30.47,Out of Stock,71,2163.37,Unknown,28,10,10,2,Carrier B,41.48,Supplier 4,Chennai,23,427,8,2391.35,Fail,0.03,Air,Route B,418.61
cosmetics,SKU16260,19.61,Out of Stock,68,1333.48,Unknown,19,3,17,5,Carrier B,43.89,Supplier 1,Kolkata,27,211,1,176.79,Pass,0.09,Air,Route A,129.48
cosmetics,SKU73214,69.64,Available,53,3690.92,Female,37,1,6,2,Carrier B,33.51,Supplier 3,Kolkata,26,187,6,3117.42,Pass,0.02,Road,Route C,250.39
haircare,SKU52392,28.88,Available,23,664.24,Female,5,9,8,4,Carrier A,48.98,Supplier 2,Chennai,23,671,23,3446.94,Pass,0.04,Sea,Route B,288.21
haircare,SKU15968,60.51,Available,47,2843.97,Male,28,3,17,3,Carrier A,32.7,Supplier 2,Kolkata,29,271,20,3411.61,Pass,0.08,Air,Route B,619.45
cosmetics,SKU95649,55.74,Out of Stock,79,4403.46,Male,44,2,12,2,Carrier B,43.33,Supplier 3,Bangalore,21,840,18,4203.72,Fail,0.04,Rail,Route A,418.58
haircare,SKU78210,32.19,Available,15,482.85,Female,27,4,7,2,Carrier C,6.4,Supplier 1,Bangalore,4,672,12,3255.63,Fail,0.09,Rail,Route C,950.76
haircare,SKU68720,18.61,Out of Stock,22,409.42,Unknown,15,6,7,5,Carrier C,18.86,Supplier 3,Kolkata,5,990,16,3402.64,Pass,0.04,Air,Route A,933.04
haircare,SKU88888,45.78,Available,69,3158.82,Non-binary,3,9,14,2,Carrier B,44.29,Supplier 4,Kolkata,28,435,1,1619.33,Pass,0.03,Road,Route B,906.2
skincare,SKU10115,40.97,Out of Stock,24,983.28,Female,6,4,10,1,Carrier A,35.62,Supplier 4,Bangalore,11,969,8,190.56,Pass,0.08,Road,Route A,585.74
cosmetics,SKU30568,79.69,Out of Stock,74,5897.06,Non-binary,15,10,15,3,Carrier A,40.57,Supplier 4,Kolkata,29,747,14,2125.75,Fail,0.03,Rail,Route A,757.82
haircare,SKU52195,56.47,Out of Stock,23,1298.81,Non-binary,17,2,2,3,Carrier B,43.28,Supplier 4,Mumbai,2,240,22,2182.0,Fail,0.02,Rail,Route A,970.2
haircare,SKU86802,86.54,Available,26,2250.04,Non-binary,13,10,3,5,Carrier C,48.91,Supplier 4,Bangalore,3,608,18,1721.5,Pass,0.03,Rail,Route B,698.37
cosmetics,SKU74985,25.16,Available,26,654.16,Unknown,45,6,3,2,Carrier A,9.21,Supplier 1,Bangalore,15,942,9,3122.3,Pass,0.1,Sea,Route A,820.47
cosmetics,SKU63945,20.03,Out of Stock,61,1221.83,Male,29,10,1,2,Carrier A,11.86,Supplier 2,Chennai,24,864,24,2346.68,Fail,0.02,Air,Route C,736.91
haircare,SKU22601,98.71,Out of Stock,70,6909.7,Female,12,5,14,2,Carrier C,22.96,Supplier 2,Bangalore,5,831,16,4181.18,Pass,0.02,Rail,Route B,710.38
haircare,SKU21006,85.74,Available,79,6773.46,Non-binary,14,6,14,1,Carrier B,48.07,Supplier 3,Kolkata,12,292,19,1769.99,Fail,0.02,Road,Route B,254.98
haircare,SKU79853,16.74,Out of Stock,6,100.44,Male,12,1,11,2,Carrier B,22.61,Supplier 2,Kolkata,15,632,11,3148.49,Fail,0.05,Sea,Route C,388.4
skincare,SKU90762,97.54,Out of Stock,8,780.32,Unknown,46,8,8,1,Carrier B,20.58,Supplier 2,Mumbai,3,417,20,2411.86,Fail,0.07,Road,Route C,762.72
skincare,SKU26816,31.68,Available,100,3168.0,Female,5,7,16,2,Carrier B,12.46,Supplier 4,Bangalore,23,264,1,1713.52,Pass,0.05,Sea,Route C,632.98
haircare,SKU71635,98.62,Available,4,394.48,Male,12,5,13,5,Carrier A,34.89,Supplier 4,Bangalore,4,599,17,1349.98,Fail,0.08,Sea,Route C,387.55
haircare,SKU65114,61.78,Available,81,5004.18,Male,30,9,9,2,Carrier C,28.41,Supplier 1,Kolkata,19,365,6,1766.08,Fail,0.04,Air,Route C,665.69
skincare,SKU67286,91.27,Available,65,5932.55,Non-binary,49,3,12,1,Carrier A,30.97,Supplier 3,Bangalore,30,844,7,3195.91,Fail,0.02,Rail,Route A,770.41
skincare,SKU27881,10.32,Out of Stock,13,134.16,Unknown,40,3,3,5,Carrier B,7.57,Supplier 3,Bangalore,5,570,12,3543.92,Fail,0.05,Road,Route A,918.1
skincare,SKU92967,66.24,Available,18,1192.32,Female,22,3,12,3,Carrier C,24.92,Supplier 3,Bangalore,18,938,11,3038.13,Pass,0.09,Air,Route C,823.39
skincare,SKU12364,98.7,Out of Stock,72,7106.4,Non-binary,25,3,10,3,Carrier A,45.63,Supplier 2,Chennai,24,411,20,1797.76,Pass,0.04,Rail,Route C,734.64
cosmetics,SKU87706,62.72,Available,66,4139.52,Non-binary,26,3,11,3,Carrier A,24.74,Supplier 5,Bangalore,7,508,7,1668.84,Pass,0.01,Road,Route B,870.75
haircare,SKU90268,45.63,Available,43,1962.09,Female,33,9,14,3,Carrier C,14.01,Supplier 2,Chennai,1,387,5,3953.76,Pass,0.1,Road,Route A,374.1
cosmetics,SKU58773,73.7,Out of Stock,92,6780.4,Male,36,3,9,2,Carrier C,14.37,Supplier 1,Chennai,12,64,21,1951.33,Fail,0.01,Road,Route A,802.59
cosmetics,SKU66300,75.46,Available,75,5659.5,Unknown,49,9,10,5,Carrier A,28.8,Supplier 1,Mumbai,16,888,16,3712.91,Pass,0.04,Sea,Route B,864.93
skincare,SKU67543,86.72,Available,65,5636.8,Female,39,9,7,4,Carrier A,43.43,Supplier 5,Kolkata,29,848,16,3681.04,Fail,0.02,Sea,Route C,495.48
haircare,SKU12418,40.33,Out of Stock,26,1048.58,Female,34,8,4,5,Carrier B,41.98,Supplier 5,Kolkata,10,537,19,3858.63,Pass,0.07,Sea,Route A,743.08
skincare,SKU16016,69.11,Available,97,6703.67,Non-binary,20,10,3,4,Carrier B,11.55,Supplier 1,Bangalore,22,235,15,2713.91,Pass,0.02,Road,Route C,536.93
haircare,SKU51448,74.13,Out of Stock,16,1186.08,Unknown,19,3,12,2,Carrier A,45.5,Supplier 4,Mumbai,25,941,18,4812.5,Pass,0.03,Road,Route A,984.93
haircare,SKU17789,24.06,Available,81,1948.86,Male,24,10,6,2,Carrier A,45.94,Supplier 3,Chennai,28,522,7,3364.83,Fail,0.02,Road,Route C,529.24
haircare,SKU94209,51.59,Available,45,2321.55,Female,21,4,12,2,Carrier C,23.2,Supplier 4,Mumbai,9,421,22,3692.88,Fail,0.07,Rail,Route C,491.26
skincare,SKU58246,21.06,Out of Stock,54,1137.24,Female,27,5,9,5,Carrier B,11.86,Supplier 1,Kolkata,3,401,5,491.83,Fail,0.03,Air,Route C,478.05
haircare,SKU94412,61.67,Available,50,3083.5,Unknown,23,7,11,4,Carrier A,44.21,Supplier 2,Chennai,3,984,19,2928.3,Pass,0.04,Air,Route C,506.51
cosmetics,SKU45095,92.82,Available,4,371.28,Female,36,6,17,5,Carrier B,31.67,Supplier 2,Kolkata,13,873,23,1154.42,Pass,0.02,Air,Route B,747.77
haircare,SKU98742,84.25,Available,91,7666.75,Female,23,6,5,5,Carrier C,30.65,Supplier 1,Kolkata,10,156,14,2580.01,Pass,0.05,Rail,Route C,573.66
haircare,SKU76803,72.73,Available,4,290.92,Male,49,5,8,3,Carrier C,42.02,Supplier 2,Chennai,6,288,6,3721.67,Pass,0.07,Sea,Route A,865.34
haircare,SKU93442,72.65,Out of Stock,62,4504.3,Unknown,33,1,13,4,Carrier C,25.92,Supplier 2,Chennai,25,415,17,1294.44,Pass,0.02,Sea,Route B,926.18
skincare,SKU55972,65.34,Out of Stock,54,3528.36,Male,10,3,2,5,Carrier A,40.48,Supplier 5,Kolkata,2,121,2,618.0,Fail,0.07,Rail,Route B,212.92
haircare,SKU75315,46.36,Available,8,370.88,Male,25,6,11,1,Carrier A,20.57,Supplier 3,Mumbai,23,288,16,1243.13,Pass,0.08,Rail,Route C,752.02
skincare,SKU87876,52.44,Available,88,4614.72,Non-binary,46,6,3,3,Carrier A,45.35,Supplier 1,Bangalore,29,562,25,1834.51,Fail,0.04,Air,Route B,802.5
haircare,SKU48542,57.55,Out of Stock,5,287.75,Female,32,2,6,4,Carrier C,31.0,Supplier 4,Mumbai,9,896,12,1710.88,Pass,0.06,Road,Route A,215.09
haircare,SKU61348,97.4,Out of Stock,97,9447.8,Unknown,30,8,11,1,Carrier B,14.37,Supplier 1,Chennai,25,457,13,2963.6,Pass,0.06,Rail,Route B,593.06
skincare,SKU47127,41.6,Available,83,3452.8,Unknown,7,1,16,3,Carrier B,33.15,Supplier 1,Bangalore,21,575,13,2051.22,Fail,0.03,Air,Route A,862.32
skincare,SKU12205,35.91,Out of Stock,69,2477.79,Female,46,4,2,2,Carrier B,31.45,Supplier 1,Chennai,6,848,7,4553.23,Pass,0.05,Sea,Route C,421.61
haircare,SKU93220,12.84,Available,80,1027.2,Male,33,5,1,4,Carrier A,38.82,Supplier 3,Bangalore,8,82,3,4290.02,Fail,0.05,Road,Route B,885.78
cosmetics,SKU20554,84.1,Available,69,5802.9,Unknown,9,6,4,2,Carrier C,41.41,Supplier 2,Chennai,13,521,1,2230.15,Pass,0.06,Rail,Route A,804.86
cosmetics,SKU89803,15.68,Available,9,141.12,Unknown,3,1,13,5,Carrier B,16.85,Supplier 3,Bangalore,2,564,1,4792.39,Pass,0.07,Road,Route A,738.05
cosmetics,SKU73033,31.05,Out of Stock,2,62.1,Male,20,9,2,3,Carrier B,42.28,Supplier 5,Bangalore,25,216,9,450.47,Fail,0.09,Rail,Route B,799.93
skincare,SKU95598,97.85,Available,52,5088.2,Unknown,45,5,17,5,Carrier A,31.04,Supplier 3,Bangalore,6,755,17,1945.66,Pass,0.06,Air,Route C,554.88
haircare,SKU11746,59.86,Available,4,239.44,Unknown,11,5,16,2,Carrier C,11.91,Supplier 2,Bangalore,26,599,20,1506.79,Fail,0.07,Air,Route A,195.75
cosmetics,SKU99993,36.56,Available,18,658.08,Non-binary,32,9,15,5,Carrier C,18.5,Supplier 2,Chennai,27,190,2,2728.63,Fail,0.04,Rail,Route A,637.35
cosmetics,SKU71597,78.01,Available,34,2652.34,Unknown,8,2,7,1,Carrier C,46.46,Supplier 5,Kolkata,9,673,12,2225.69,Fail,0.05,Road,Route B,679.62
skincare,SKU25109,65.38,Available,99,6472.62,Unknown,11,10,7,5,Carrier A,44.74,Supplier 5,Mumbai,28,667,7,1617.38,Fail,0.06,Rail,Route B,324.4
skincare,SKU30790,41.57,Available,50,2078.5,Male,39,1,7,1,Carrier B,42.92,Supplier 2,Kolkata,3,277,2,2258.88,Pass,0.07,Road,Route A,828.54
cosmetics,SKU80033,60.36,Available,31,1871.16,Non-binary,7,5,15,1,Carrier B,16.83,Supplier 1,Bangalore,13,63,23,3701.39,Fail,0.1,Sea,Route B,523.92
cosmetics,SKU82967,89.3,Out of Stock,70,6251.0,Unknown,10,10,10,4,Carrier C,32.98,Supplier 3,Kolkata,19,392,1,1117.37,Pass,0.06,Road,Route B,936.25
skincare,SKU62894,25.44,Out of Stock,61,1551.84,Male,25,1,12,3,Carrier B,22.93,Supplier 5,Mumbai,11,149,5,1848.81,Pass,0.09,Air,Route B,992.66
haircare,SKU46905,73.94,Out of Stock,72,5323.68,Unknown,37,3,10,1,Carrier A,47.29,Supplier 5,Kolkata,30,765,9,1746.58,Pass,0.05,Road,Route B,486.35
haircare,SKU73180,91.58,Out of Stock,78,7143.24,Unknown,48,3,10,3,Carrier C,41.05,Supplier 3,Kolkata,15,171,14,3221.11,Fail,0.04,Air,Route C,440.3
haircare,SKU38630,84.49,Out of Stock,92,7773.08,Unknown,17,2,17,2,Carrier C,44.62,Supplier 1,Mumbai,11,408,22,3936.65,Pass,0.04,Road,Route A,739.64
haircare,SKU82795,55.07,Out of Stock,2,110.14,Female,48,3,16,2,Carrier C,38.32,Supplier 2,Chennai,24,870,25,2412.92,Pass,0.02,Road,Route B,979.4
cosmetics,SKU59689,39.51,Out of Stock,30,1185.3,Male,33,5,10,4,Carrier A,35.09,Supplier 1,Bangalore,14,134,4,3144.95,Fail,0.04,Rail,Route A,697.13
skincare,SKU59652,74.17,Out of Stock,55,4079.35,Male,12,9,11,2,Carrier C,34.24,Supplier 3,Bangalore,6,496,20,2122.31,Pass,0.05,Air,Route C,248.94
cosmetics,SKU16286,38.19,Out of Stock,16,611.04,Unknown,49,5,14,5,Carrier A,44.84,Supplier 2,Bangalore,22,384,11,778.4,Pass,0.05,Rail,Route B,803.76
cosmetics,SKU36888,41.04,Out of Stock,59,2421.36,Unknown,15,5,17,1,Carrier B,20.08,Supplier 4,Kolkata,11,185,19,3031.3,Fail,0.07,Sea,Route B,313.91
haircare,SKU14402,42.84,Out of Stock,73,3127.32,Non-binary,25,3,17,4,Carrier B,8.51,Supplier 2,Mumbai,13,514,15,3405.63,Fail,0.03,Rail,Route C,264.6
skincare,SKU66141,44.46,Available,29,1289.34,Male,2,1,13,2,Carrier A,28.89,Supplier 2,Kolkata,6,202,1,1416.67,Fail,0.03,Rail,Route A,980.84
haircare,SKU25005,77.23,Out of Stock,48,3707.04,Non-binary,22,10,1,2,Carrier C,16.83,Supplier 3,Kolkata,28,993,14,4149.51,Fail,0.04,Air,Route B,573.72
skincare,SKU70041,20.57,Available,26,534.82,Male,3,10,10,2,Carrier C,38.5,Supplier 3,Mumbai,21,989,8,2064.45,Pass,0.01,Sea,Route C,703.39
haircare,SKU23482,51.74,Out of Stock,63,3259.62,Non-binary,1,1,9,1,Carrier B,19.35,Supplier 1,Mumbai,30,161,24,638.24,Pass,0.05,Air,Route B,458.29
cosmetics,SKU64269,94.35,Out of Stock,23,2170.05,Male,41,4,18,4,Carrier C,28.15,Supplier 3,Chennai,18,875,24,262.77,Fail,0.03,Air,Route B,869.19
cosmetics,SKU93832,17.1,Out of Stock,1,17.1,Male,31,3,5,1,Carrier A,36.43,Supplier 3,Bangalore,12,237,3,4354.28,Fail,0.09,Air,Route C,857.6
cosmetics,SKU10149,83.83,Out of Stock,87,7293.21,Female,16,10,3,4,Carrier B,9.34,Supplier 3,Mumbai,30,115,7,1132.81,Fail,0.03,Rail,Route A,232.84
skincare,SKU88550,89.67,Available,26,2331.42,Male,28,2,5,4,Carrier A,40.53,Supplier 4,Chennai,11,892,12,4722.66,Fail,0.03,Air,Route C,894.04
haircare,SKU67194,85.6,Available,16,1369.6,Female,16,1,19,1,Carrier C,7.52,Supplier 5,Mumbai,20,374,19,3680.01,Fail,0.05,Sea,Route C,428.27
haircare,SKU46665,96.18,Available,84,8079.12,Female,30,3,9,1,Carrier A,28.84,Supplier 1,Mumbai,3,58,12,3511.13,Fail,0.06,Sea,Route B,429.87
cosmetics,SKU10393,91.16,Available,99,9024.84,Male,15,2,3,1,Carrier C,7.19,Supplier 2,Mumbai,22,281,21,1013.84,Fail,0.05,Sea,Route B,732.76
haircare,SKU87318,78.88,Available,13,1025.44,Female,21,10,18,4,Carrier C,28.28,Supplier 3,Mumbai,26,268,16,2190.67,Pass,0.06,Road,Route A,338.94
cosmetics,SKU22075,97.79,Out of Stock,41,4009.39,Male,19,4,11,2,Carrier B,18.08,Supplier 2,Chennai,15,580,23,643.88,Pass,0.06,Rail,Route A,287.1
skincare,SKU32943,90.33,Available,10,903.3,Male,44,4,13,5,Carrier B,18.17,Supplier 5,Bangalore,4,648,5,1475.93,Pass,0.04,Rail,Route A,349.46
skincare,SKU38212,94.8,Out of Stock,99,9385.2,Female,38,9,13,4,Carrier B,12.3,Supplier 5,Bangalore,3,733,15,3522.14,Fail,0.07,Road,Route A,466.09
skincare,SKU62499,45.71,Out of Stock,17,777.07,Female,38,9,13,3,Carrier A,35.95,Supplier 4,Chennai,2,166,25,1077.85,Fail,0.1,Air,Route B,953.48
skincare,SKU26628,18.61,Out of Stock,42,781.62,Unknown,15,3,14,5,Carrier C,10.67,Supplier 2,Mumbai,20,773,11,1238.31,Fail,0.05,Sea,Route C,247.56
skincare,SKU21798,15.86,Available,55,872.3,Female,2,5,5,4,Carrier C,12.63,Supplier 2,Bangalore,12,320,18,1191.82,Pass,0.04,Road,Route B,497.28
haircare,SKU77316,41.85,Available,46,1925.1,Male,47,3,7,3,Carrier B,17.08,Supplier 4,Mumbai,27,244,21,4546.97,Fail,0.02,Air,Route B,266.36
haircare,SKU59806,45.75,Available,56,2562.0,Female,48,4,10,3,Carrier B,22.56,Supplier 4,Mumbai,22,987,3,3904.69,Fail,0.07,Road,Route A,814.78
cosmetics,SKU46289,35.58,Available,21,747.18,Non-binary,16,3,6,4,Carrier A,27.09,Supplier 2,Chennai,15,904,24,1676.52,Pass,0.05,Road,Route A,749.62
haircare,SKU53573,33.24,Available,51,1695.24,Male,48,3,20,5,Carrier A,48.78,Supplier 5,Mumbai,15,270,17,1144.71,Fail,0.09,Air,Route B,569.41
cosmetics,SKU36528,69.04,Available,13,897.52,Unknown,6,10,2,3,Carrier A,35.18,Supplier 1,Bangalore,14,811,24,943.86,Pass,0.03,Air,Route B,485.46
cosmetics,SKU32562,15.78,Out of Stock,1,15.78,Unknown,45,10,20,3,Carrier C,36.28,Supplier 5,Mumbai,6,908,24,1998.42,Fail,0.09,Rail,Route B,293.69
skincare,SKU57582,47.33,Available,78,3691.74,Female,9,6,9,5,Carrier C,44.31,Supplier 3,Bangalore,17,571,17,1760.41,Pass,0.06,Air,Route C,259.66
cosmetics,SKU60515,40.58,Out of Stock,81,3286.98,Non-binary,21,4,8,4,Carrier A,19.18,Supplier 4,Kolkata,25,413,18,4007.43,Fail,0.05,Sea,Route A,322.66
skincare,SKU90901,92.09,Out of Stock,55,5064.95,Female,50,8,12,5,Carrier B,7.44,Supplier 2,Bangalore,29,516,4,4097.46,Pass,0.09,Road,Route C,377.7
haircare,SKU21001,52.11,Out of Stock,28,1459.08,Unknown,37,7,6,2,Carrier A,8.68,Supplier 2,Bangalore,17,342,5,1999.49,Pass,0.05,Air,Route B,424.22
cosmetics,SKU75273,89.36,Out of Stock,23,2055.28,Male,3,10,2,4,Carrier A,41.04,Supplier 4,Chennai,20,639,17,4879.18,Pass,0.07,Air,Route C,389.11
haircare,SKU53440,34.57,Available,48,1659.36,Female,31,5,6,5,Carrier A,15.4,Supplier 3,Kolkata,9,556,21,180.56,Fail,0.06,Air,Route B,508.83
haircare,SKU49842,94.3,Out of Stock,41,3866.3,Unknown,42,1,7,2,Carrier C,8.66,Supplier 1,Chennai,1,512,16,132.78,Pass,0.08,Sea,Route B,663.25
haircare,SKU49837,62.9,Available,28,1761.2,Non-binary,37,4,11,4,Carrier C,49.68,Supplier 5,Bangalore,2,614,17,2724.25,Pass,0.08,Air,Route A,846.72
skincare,SKU22678,80.95,Available,59,4776.05,Non-binary,49,2,7,2,Carrier A,32.28,Supplier 5,Bangalore,24,393,25,2887.12,Pass,0.06,Air,Route A,891.61
cosmetics,SKU39408,10.75,Out of Stock,44,473.0,Male,40,10,11,1,Carrier B,7.87,Supplier 1,Kolkata,22,380,3,1937.89,Pass,0.03,Road,Route A,555.66
cosmetics,SKU83338,99.82,Available,58,5789.56,Male,38,2,2,3,Carrier C,34.65,Supplier 5,Chennai,1,269,14,4411.67,Pass,0.07,Air,Route C,275.27
cosmetics,SKU20680,26.51,Out of Stock,2,53.02,Female,32,10,1,5,Carrier B,28.62,Supplier 1,Bangalore,16,901,3,2318.79,Fail,0.03,Rail,Route B,356.4
skincare,SKU35213,64.21,Available,58,3724.18,Unknown,39,1,11,5,Carrier B,22.51,Supplier 5,Kolkata,25,891,6,1489.82,Pass,0.05,Rail,Route C,476.5
skincare,SKU63954,34.77,Available,6,208.62,Unknown,44,7,15,3,Carrier C,41.05,Supplier 5,Chennai,19,924,8,518.67,Fail,0.1,Sea,Route C,396.13
cosmetics,SKU55402,54.42,Out of Stock,89,4843.38,Male,26,7,14,1,Carrier C,15.79,Supplier 3,Chennai,29,721,1,243.75,Fail,0.06,Air,Route A,994.29
haircare,SKU35621,79.17,Available,100,7917.0,Unknown,33,5,12,5,Carrier A,12.52,Supplier 4,Chennai,8,728,10,1170.38,Pass,0.06,Road,Route B,187.41
cosmetics,SKU90800,47.61,Out of Stock,84,3999.24,Male,2,7,3,3,Carrier B,24.86,Supplier 5,Chennai,25,132,14,4291.33,Pass,0.04,Road,Route B,609.75
cosmetics,SKU57852,33.89,Available,87,2948.43,Unknown,19,1,18,2,Carrier B,22.32,Supplier 4,Bangalore,8,673,1,2532.94,Pass,0.02,Rail,Route A,643.54
cosmetics,SKU52917,26.94,Out of Stock,75,2020.5,Unknown,7,5,5,2,Carrier A,11.72,Supplier 3,Chennai,7,670,16,1009.96,Fail,0.1,Air,Route A,668.11
haircare,SKU66436,71.39,Out of Stock,39,2784.21,Unknown,50,4,18,1,Carrier A,19.22,Supplier 2,Mumbai,30,927,15,3351.67,Pass,0.02,Air,Route A,385.7
cosmetics,SKU96291,62.84,Out of Stock,2,125.68,Non-binary,30,9,9,3,Carrier C,11.22,Supplier 2,Kolkata,29,125,2,3884.18,Fail,0.07,Road,Route A,586.02
skincare,SKU31055,57.88,Available,28,1620.64,Male,1,6,15,3,Carrier A,47.31,Supplier 3,Kolkata,17,726,22,4493.6,Fail,0.02,Rail,Route A,529.68
skincare,SKU92494,53.59,Available,7,375.13,Non-binary,32,4,14,1,Carrier A,49.93,Supplier 4,Mumbai,26,804,1,3049.39,Fail,0.08,Air,Route B,595.95
cosmetics,SKU33179,23.56,Out of Stock,22,518.32,Non-binary,31,2,9,2,Carrier A,21.28,Supplier 5,Kolkata,9,976,2,2996.41,Fail,0.04,Rail,Route C,693.45
skincare,SKU56162,79.67,Available,64,5098.88,Female,24,8,8,4,Carrier B,23.86,Supplier 3,Mumbai,8,612,10,871.15,Fail,0.09,Road,Route C,620.15
cosmetics,SKU99452,95.43,Available,20,1908.6,Female,2,3,19,5,Carrier A,15.38,Supplier 1,Bangalore,8,942,17,2988.28,Fail,0.04,Sea,Route C,702.78
cosmetics,SKU68746,69.83,Available,10,698.3,Unknown,6,7,13,1,Carrier A,17.71,Supplier 4,Kolkata,22,849,14,4134.35,Pass,0.08,Sea,Route A,836.65
cosmetics,SKU31025,21.05,Available,76,1599.8,Unknown,26,8,16,1,Carrier B,34.15,Supplier 5,Mumbai,9,839,25,224.17,Fail,0.1,Sea,Route A,292.86
cosmetics,SKU92419,72.49,Available,71,5146.79,Non-binary,15,9,18,2,Carrier B,5.54,Supplier 2,Kolkata,20,170,16,4782.65,Pass,0.07,Sea,Route C,111.55
cosmetics,SKU11298,89.99,Available,9,809.91,Male,19,7,20,1,Carrier B,34.47,Supplier 4,Mumbai,9,861,12,997.87,Pass,0.09,Road,Route B,652.43
haircare,SKU53228,12.17,Available,78,949.26,Male,6,10,7,4,Carrier C,33.35,Supplier 2,Bangalore,3,523,13,2317.74,Fail,0.04,Air,Route A,165.3
haircare,SKU49228,67.97,Out of Stock,73,4961.81,Non-binary,5,4,8,5,Carrier A,38.35,Supplier 2,Bangalore,3,784,23,1363.4,Pass,0.09,Road,Route B,627.71
haircare,SKU48222,28.42,Available,100,2842.0,Male,20,7,18,5,Carrier B,27.2,Supplier 4,Mumbai,22,372,17,1826.22,Fail,0.09,Rail,Route B,401.5
cosmetics,SKU36795,40.45,Out of Stock,45,1820.25,Male,7,2,15,1,Carrier B,32.82,Supplier 5,Mumbai,21,847,24,1730.23,Pass,0.02,Air,Route B,660.85
